name,male,female
american,1,0
americo,2,0
americus,0,1
amerjit,1,0
ames,1,0
ami,0,3
amie,0,6
amiel,1,0
amila,0,1
amin,1,0
amina,0,1
amine,2,0
amir,8,0
amira,0,2
amirah,0,1
amit,3,0
amita,0,1
amitai,1,0
amity,0,1
amiya,0,1
aml,1,0
ammar,1,0
ammie,0,1
amol,1,0
amon,1,0
amory,1,0
amos,2,0
amparo,0,1
amr,1,0
amra,0,1
amrain,0,1
amrapali,0,1
amrit,1,0
amrita,0,2
amro,2,0
amy,0,145
amy-leigh,0,1
amya,0,1
ana,0,23
anabel,0,1
anabelle,0,2
anahita,0,1
anais,0,1
analeigh,0,1
analeis,0,1
anamaria,0,1
anand,1,0
anas,3,0
anastacia,0,1
anastagia,0,1
anastasia,0,10
anastassia,0,1
anatole,1,0
anatoly,1,0
anaïs,0,0
and,1,0
anders,4,0
andersen,1,0
anderson,4,0
andhy,1,0
andi,0,5
andie,0,2
andile,1,0
andra,0,3
andranik,1,0
andray,1,0
andre,29,0
andrea,0,79
andreas,4,0
andrei,4,0
andreina,0,1
andrellos,1,0
andrene,0,1
andres,9,0
andreu,1,0
andrew,246,0
andrewandrew,1,0
andrey,2,0
andria,0,1
andrian,1,0
andriana,0,1
andries,1,0
andromeda,0,1
andrzej,4,0
andré,0,0
andrés,2,0
andy,96,0
aneesh,1,0
anehita,0,1
anele,0,1
aneliese,0,1
anelys,0,1
anesha,0,1
anessa,0,1
aneurin,1,0
angee,0,1
angel,23,0
angela,0,80
angelena,0,1
angelic,0,1
angelica,0,4
angelina,0,9
angeline,0,1
angelique,0,6
angella,0,2
angelle,0,1
angelline,0,1
angellita,0,1
angelo,20,0
angelyna,0,1
angharad,0,1
angie,0,12
angila,0,1
angus,7,0
angélica,0,0
ani,0,2
ania,0,1
aniela,0,1
anika,0,6
anil,5,0
anise,0,1
anisha,0,1
anissa,0,2
anita,0,29
anitha,0,1
anja,0,1
anjali,0,1
anjan,1,0
anjelah,0,1
anjelica,0,1
anjili,0,1
anjini,0,1
anjli,0,1
anjul,0,0
ankur,1,0
ann,0,41
ann-margret,0,1
ann-marie,0,1
anna,0,104
anna-karin,0,1
anna-maria,0,2
annabel,0,6
annabella,0,2
annabelle,0,9
annabeth,0,1
annacorey,1,0
annaleigh,0,1
annalise,0,1
annalynne,0,1
annamaria,0,1
annapurna,0,1
anndi,0,1
anne,0,56
anne-marie,0,2
anne-solenne,0,1
anne-sophie,0,1
annelise,0,2
annet,0,1
annette,0,9
anni,0,3
annie,0,53
annika,0,6
annina,0,1
anniston,0,1
annmarie,0,1
anny,0,1
annzella,0,1
ano,1,0
anoop,1,0
anora,0,1
anoulith,1,0
anoush,0,1
anri,1,0
anselmo,1,0
ansley,0,1
anson,2,0
anthony,204,0
antimere,1,0
antjuan,1,0
antoine,5,0
antoinette,0,4
anton,10,0
antone,1,0
antonette,0,1
antonia,0,7
antonimar,1,0
antonin,1,0
antonino,1,0
antonio,32,0
antony,7,0
antwain,1,0
antwayn,1,0
anu,0,1
anup,1,0
anupam,1,0
anwan,1,0
anwar,2,0
anwen,0,1
anya,0,8
anyssa,0,1
anzu,0,1
aoife,0,1
aonghus,1,0
aparna,0,1
apeksha,0,1
aphrodite,0,1
apolo,1,0
apolonio,1,0
april,0,37
ara,0,3
arabella,0,2
araceli,0,1
araksi,0,1
aram,1,0
aramis,1,0
arantza,0,1
arap,1,0
arash,1,0
araya,0,1
arayna,0,1
arbi,1,0
arcade,1,0
arcadio,1,0
archibald,1,0
archie,4,0
ardal,1,0
ardean,0,1
arden,3,0
ardeshir,1,0
ardie,0,1
area,1,0
aree,0,1
aretha,0,2
argelis,1,0
ari,19,0
aria,5,0
ariadne,0,1
arian,1,0
ariana,0,10
ariane,0,2
arianna,0,3
arias,1,0
aric,1,0
arick,1,0
ariel,12,0
ariela,0,2
arielle,0,10
arien,1,0
arienne,0,1
arif,1,0
arija,0,1
arik,1,0
aris,2,0
aristedes,1,0
aristotle,1,0
ariyon,0,1
arjay,1,0
arjun,3,0
arlen,2,0
arlene,0,8
arleo,1,0
arlies,0,1
arlo,2,0
arloa,0,1
arlon,1,0
armal,1,0
armand,3,0
armande,0,1
armando,14,0
armani,1,0
armen,2,0
armie,0,1
armin,3,0
armistead,1,0
armond,1,0
armonn,1,0
arna,0,1
arnd,1,0
arndís,0,0
arne,2,0
arnell,0,0
arnie,3,0
arnita,0,1
arnold,10,0
arnoldo,1,0
aron,4,0
arriane,0,1
arrin,0,0
arron,2,0
arsher,1,0
art,13,0
artel,1,0
artem,1,0
artemis,0,1
artesia,0,0
arthur,31,0
artie,6,0
artin,1,0
artine,1,0
artur,2,0
arturo,4,0
arty,1,0
aruna,0,1
arune,0,1
arvind,1,0
arvydas,1,0
aryana,0,1
arybella,0,1
arye,1,0
aryn,0,1
aryonna,0,1
asa,1,0
asanio,1,0
asante,1,0
asdrubal,1,0
ash,12,0
ashanna,0,1
ashanti,0,1
ashby,1,0
ashen,2,0
asher,6,0
ashima,0,1
ashlea,0,1
ashlee,0,5
ashlei,0,1
ashleigh,0,12
ashley,0,92
ashley-anne,0,1
ashli,0,2
ashlie,0,1
ashlyn,0,3
ashlynn,0,2
ashna,0,1
ashraf,1,0
ashton,7,0
ashwin,1,0
asia,0,3
asia'h,0,1
asif,2,0
asim,1,0
asjha,0,1
aslan,1,0
asmeret,0,2
aspen,0,1
asra,0,1
assaad,1,0
assad,2,0
assaf,2,0
assi,1,0
assibey,1,0
asta,0,1
aston,1,0
astrea,0,1
aswad,1,0
asyl,1,0
atandwa,1,0
athan,1,0
atheer,0,1
athena,0,9
atif,1,0
atkins,1,0
atlin,0,0
ato,1,0
atom,1,0
atoms,1,0
atossa,0,1
atpeace,0,1
atsuki,1,0
atsuko,0,1
atsushi,1,0
atticus,4,0
attila,5,0
atul,2,0
aubree,0,2
aubrey,0,17
aubrie,0,2
aubrohn,1,0
aubyn,0,1
audessa,0,0
audi,0,0
audie,1,0
audra,0,7
audrey,0,17
augie,3,0
august,3,0
augustin,1,0
aundrus,1,0
aunjanue,0,1
aura,0,2
aurelia,0,2
aurelien,1,0
aurelio,3,0
aurielle,0,1
aurora,0,3
aurélien,0,0
ausar,1,0
austan,1,0
austen,1,0
austin,57,0
autavia,0,1
autry,1,0
autumn,0,7
ava,0,21
avalon,0,1
avan,1,0
avantika,0,1
ave,0,1
avelawance,1,0
aveleigh,0,1
avena,0,1
avery,12,0
avey,0,1
avi,9,0
aviad,1,0
avis-marie,1,0
avital,0,2
aviva,0,3
aviya,0,1
avrey,0,0
avriella,0,1
axel,2,0
axelle,0,1
aya,0,1
ayaan,1,0
ayana,0,2
ayanna,0,2
ayari,0,1
ayatollah,1,0
ayda,0,1
ayden,1,0
aydiee,0,1
aydin,1,0
ayelet,0,3
ayesha,0,6
aygemang,1,0
ayhan,1,0
ayla,0,2
aylam,0,1
aylin,0,1
aylya,0,1
ayma,0,1
ayman,1,0
aynsley,0,1
ayo,0,0
ayoka,0,1
ayse,0,1
aysha,0,1
ayumi,0,2
azael,1,0
azalia,0,1
azdin,1,0
azdine,1,0
azeem,1,0
azhar,1,0
azia,0,1
azie,0,1
azim,1,0
azita,0,1
aziz,3,0
aziza,0,1
azize,1,0
azmarie,1,0
azmyth,1,0
azur-de,0,1
azura,0,1
azure,0,1
b.j.,0,0
b.k.,0,0
b.o.b.,1,0
baba,1,0
babak,1,0
babar,1,0
babbie,0,1
babou,1,0
babs,0,4
baby,0,0
bacilio,1,0
backstreet,0,1
bader,1,0
badi,0,0
badr,1,0
badria,0,1
bahar,0,1
bahia,0,1
bahni,0,1
bai,0,0
bailey,0,13
baje,1,0
bal,1,0
baldeep,1,0
balford,1,0
balinder,1,0
balthazar,1,0
balázs,0,0
bambadjan,1,0
ban,1,0
band,1,0
bandile,1,0
banks,1,0
barack,2,0
barak,1,0
baraka,1,0
baratunde,1,0
barbara,0,71
barbara-julie,0,1
barbie,0,3
barbra,0,3
barclay,1,0
bari,0,3
barkhad,1,0
barnaby,1,0
barnett,2,0
barney,6,0
baron,3,0
barret,1,0
barrett,9,0
barrie,0,0
barrington,3,0
barron,1,0
barry,64,0
bart,12,0
barton,2,0
barunka,0,1
bas,1,0
bashar,1,0
bashir,3,0
basil,4,0
basilina,0,1
bassam,1,0
bassem,1,0
bastien,1,0
batia,0,1
bau,1,0
bauston,1,0
baxter,1,0
bayani,1,0
baye,0,1
bayne,1,0
bayo,1,0
bd,1,0
bea,0,1
beach,1,0
beanie,1,0
bear,2,0
beate,0,1
beatie,0,1
beatrice,0,6
beatriz,0,1
beatty,1,0
beau,15,0
bebe,3,0
becca,0,3
beck,2,0
beckett,3,0
beckham,1,0
becki,0,2
beckie,0,1
becky,0,11
behzad,1,0
